Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2020-07-22,26824.560546875,27035.240234375,26794.189453125,27005.83984375,404340000,0.0,165.439453125,26652.330078125
2020-07-23,26955.970703125,26973.849609375,26560.0390625,26652.330078125,419800000,0.0,-353.509765625,26469.890625
2020-07-24,26533.41015625,26625.69921875,26402.859375,26469.890625,494170000,0.0,-182.439453125,26584.76953125
2020-07-27,26447.669921875,26625.4609375,26426.919921875,26584.76953125,400930000,0.0,114.87890625,26379.279296875
2020-07-28,26529.44921875,26556.83984375,26361.7109375,26379.279296875,361090000,0.0,-205.490234375,26539.5703125
2020-07-29,26388.439453125,26602.44921875,26375.390625,26539.5703125,347580000,0.125,160.291015625,26313.650390625
2020-07-30,26367.419921875,26374.9296875,25992.279296875,26313.650390625,351540000,0.0,-225.919921875,26428.3203125
2020-07-31,26409.330078125,26440.01953125,26013.58984375,26428.3203125,488050000,0.0,114.669921875,26664.400390625
2020-08-03,26542.3203125,26707.259765625,26534.380859375,26664.400390625,439380000,0.0,236.080078125,26828.470703125
2020-08-04,26664.609375,26832.720703125,26597.8203125,26828.470703125,346350000,0.0,164.0703125,27201.51953125
2020-08-05,26924.779296875,27221.669921875,26924.779296875,27201.51953125,366000000,0.0,373.048828125,27386.98046875
2020-08-06,27170.8203125,27394.099609375,27145.25,27386.98046875,322460000,0.0,185.4609375,27433.48046875
2020-08-07,27321.6796875,27456.240234375,27223.55078125,27433.48046875,321170000,0.0,46.5,27791.439453125
2020-08-10,27488.2109375,27803.859375,27488.2109375,27791.439453125,360340000,0.0,357.958984375,27686.91015625
2020-08-11,27961.640625,28154.880859375,27624.509765625,27686.91015625,428220000,0.0,-104.529296875,27976.83984375
2020-08-12,27860.240234375,28043.890625,27843.3203125,27976.83984375,340210000,0.0,289.9296875,27896.720703125
2020-08-13,27922.509765625,27986.099609375,27789.779296875,27896.720703125,360160000,0.0,-80.119140625,27931.01953125
2020-08-14,27828.9296875,27977.810546875,27759.390625,27931.01953125,275540000,0.0,34.298828125,27844.91015625
2020-08-17,27970.05078125,27999.810546875,27816.400390625,27844.91015625,286860000,0.0,-86.109375,27778.0703125
2020-08-18,27853.48046875,27891.119140625,27668.7890625,27778.0703125,276170000,0.0,-66.83984375,27692.880859375
2020-08-19,27811.259765625,27920.419921875,27647.669921875,27692.880859375,311460000,0.0,-85.189453125,27739.73046875
2020-08-20,27622.6796875,27781.4609375,27526.25,27739.73046875,304550000,0.0,46.849609375,27930.330078125
2020-08-21,27758.130859375,27959.48046875,27686.779296875,27930.330078125,372720000,0.0,190.599609375,28308.4609375
